author_name,author_url,avg_rating,book_title,book_url,num_ratings,score,score_users
Harper Lee,https://www.goodreads.com/author/show/1825.Harper_Lee,4.27,"
To Kill a Mockingbird (To Kill a Mockingbird, #1)
",/book/show/2657.To_Kill_a_Mockingbird,"4,041,613","2,260,059","22,909"
J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.47,"
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)
",/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"6,153,291","1,723,837","17,579"
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.25,"
Pride and Prejudice
",/book/show/1885.Pride_and_Prejudice,"2,649,932","1,381,212","14,144"
Anne Frank,https://www.goodreads.com/author/show/3720.Anne_Frank,4.13,"
The Diary of a Young Girl
",/book/show/48855.The_Diary_of_a_Young_Girl,"2,463,150","1,316,658","13,482"
George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,4.17,"
1984
",/book/show/5470.1984,"2,695,209","1,201,091","12,285"
Antoine de Saint-Exupéry,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,4.30,"
The Little Prince
",/book/show/157993.The_Little_Prince,"1,144,780","920,206","9,540"
F. Scott Fitzgerald,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,3.91,"
The Great Gatsby
",/book/show/4671.The_Great_Gatsby,"3,369,149","866,990","9,065"
J.D. Salinger,https://www.goodreads.com/author/show/819789.J_D_Salinger,3.80,"
The Catcher in the Rye
",/book/show/5107.The_Catcher_in_the_Rye,"2,481,191","830,247","8,627"
George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,3.92,"
Animal Farm
",/book/show/7613.Animal_Farm,"2,419,130","808,916","8,381"
J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4.49,"
The Lord of the Rings (The Lord of the Rings, #1-3)
",/book/show/33.The_Lord_of_the_Rings,"511,757","754,729","7,965"
Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,4.12,"
Jane Eyre
",/book/show/10210.Jane_Eyre,"1,475,815","734,389","7,747"
Markus Zusak,https://www.goodreads.com/author/show/11466.Markus_Zusak,4.37,"
The Book Thief
",/book/show/19063.The_Book_Thief,"1,624,821","725,881","7,673"
C.S. Lewis,https://www.goodreads.com/author/show/1069006.C_S_Lewis,4.26,"
The Chronicles of Narnia (Chronicles of Narnia, #1-7)
",/book/show/11127.The_Chronicles_of_Narnia,"464,837","693,855","7,311"
William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,3.74,"
Romeo and Juliet
",/book/show/18135.Romeo_and_Juliet,"1,895,565","678,224","7,170"
William Golding,https://www.goodreads.com/author/show/306.William_Golding,3.67,"
Lord of the Flies
",/book/show/7624.Lord_of_the_Flies,"2,055,064","671,080","7,130"
J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.61,"
Harry Potter and the Deathly Hallows (Harry Potter, #7)
",/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"2,482,023","652,914","6,964"
Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.29,"
The Kite Runner
",/book/show/77203.The_Kite_Runner,"2,210,619","626,213","6,605"
Lois Lowry,https://www.goodreads.com/author/show/2493.Lois_Lowry,4.12,"
The Giver (The Giver, #1)
",/book/show/3636.The_Giver,"1,574,239","611,473","6,480"
Shel Silverstein,https://www.goodreads.com/author/show/435477.Shel_Silverstein,4.37,"
The Giving Tree
",/book/show/370493.The_Giving_Tree,"833,320","608,462","6,436"
E.B. White,https://www.goodreads.com/author/show/988142.E_B_White,4.16,"
Charlotte's Web
",/book/show/24178.Charlotte_s_Web,"1,284,494","559,388","6,034"
Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,4.30,"
Green Eggs and Ham
",/book/show/23772.Green_Eggs_and_Ham,"552,011","522,365","5,541"
Louisa May Alcott,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,4.06,"
Little Women
",/book/show/1934.Little_Women,"1,487,369","517,622","5,650"
