1_star,2_star,3_star,4_star,5_star,book_id,review_url
72324,137269,522853,1202350,2106894,2657,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
99571,123265,539798,1426992,3963816,3,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0439554934&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
67047,102372,335967,728472,1416128,1885,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
56798,105135,407896,782523,1110846,48855,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0553296981&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
54362,106924,400155,889901,1243940,5470,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
20360,42700,146010,298826,636919,157993,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0156012197&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
101039,230044,720732,1133845,1183566,4671,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
126859,214995,527767,769964,841654,5107,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0316769177&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
76519,152139,498323,850296,841916,7613,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0452284244&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
5455,10704,42063,121634,331914,33,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
39561,71370,237508,457188,670220,10210,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142437204&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
22981,43744,166843,468194,923099,19063,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0375831002&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
