Number,Date,Natural_Gas_Price,S&P_500_Price
0,2/2/2024,2.079,"4,958.61"
1,1/2/2024,2.05,"4,906.19"
2,31-01-2024,2.1,"4,848.87"
3,30-01-2024,2.077,"4,924.97"
4,29-01-2024,2.49,"4,927.93"
5,26-01-2024,2.712,"4,890.97"
6,25-01-2024,2.571,"4,894.16"
7,24-01-2024,2.641,"4,868.55"
8,23-01-2024,2.45,"4,864.60"
9,22-01-2024,2.419,"4,850.43"
10,19-01-2024,2.519,"4,839.81"
11,18-01-2024,2.697,"4,780.94"
12,17-01-2024,2.87,"4,739.21"
13,16-01-2024,2.9,"4,762.85"
14,12/1/2024,3.313,"4,783.83"
15,11/1/2024,3.097,"4,780.24"
16,10/1/2024,3.039,"4,783.45"
17,9/1/2024,3.19,"4,756.50"
18,8/1/2024,2.98,"4,763.54"
19,5/1/2024,2.893,"4,697.24"
20,4/1/2024,2.821,"4,688.68"
21,3/1/2024,2.668,"4,704.81"
22,2/1/2024,2.568,"4,742.83"
23,29-12-2023,2.514,"4,769.83"
24,28-12-2023,2.557,"4,783.35"
25,27-12-2023,2.619,"4,781.58"
26,26-12-2023,2.55,"4,774.75"
27,22-12-2023,2.61,"4,754.63"
28,21-12-2023,2.572,"4,746.75"
29,20-12-2023,2.447,"4,701.19"
30,19-12-2023,2.492,"4,768.37"
31,18-12-2023,2.503,"4,740.56"
32,15-12-2023,2.491,"4,719.19"
33,14-12-2023,2.392,"4,719.55"
34,13-12-2023,2.335,"4,707.09"
35,12/12/2023,2.311,"4,643.70"
36,11/12/2023,2.35,"4,622.44"
37,8/12/2023,2.504,"4,604.37"
38,7/12/2023,2.52,"4,585.59"
39,6/12/2023,2.517,"4,549.34"
40,5/12/2023,2.667,"4,567.18"
41,4/12/2023,2.651,"4,569.78"
42,1/12/2023,2.773,"4,594.63"
43,30-11-2023,2.802,"4,567.78"
44,29-11-2023,2.804,"4,550.58"
45,28-11-2023,2.706,"4,554.89"
46,27-11-2023,2.794,"4,550.43"
47,24-11-2023,2.855,"4,559.34"
48,22-11-2023,2.897,"4,556.62"
49,21-11-2023,2.846,"4,538.19"
50,20-11-2023,2.882,"4,547.38"
51,17-11-2023,3.131,"4,514.02"
52,16-11-2023,3.239,"4,508.24"
53,15-11-2023,3.362,"4,502.88"
54,14-11-2023,3.106,"4,495.70"
55,13-11-2023,3.197,"4,411.55"
56,10/11/2023,3.033,"4,415.24"
57,9/11/2023,3.041,"4,347.35"
58,8/11/2023,3.106,"4,382.78"
59,7/11/2023,3.14,"4,378.38"
60,6/11/2023,3.264,"4,365.98"
61,3/11/2023,3.515,"4,358.34"
62,2/11/2023,3.472,"4,317.78"
63,1/11/2023,3.494,"4,237.86"
64,31-10-2023,3.575,"4,193.80"
65,30-10-2023,3.352,"4,166.82"
66,27-10-2023,3.164,"4,117.37"
67,26-10-2023,3.214,"4,137.23"
68,25-10-2023,3.01,"4,186.77"
69,24-10-2023,2.971,"4,247.68"
70,23-10-2023,2.926,"4,217.04"
71,20-10-2023,2.899,"4,224.16"
72,19-10-2023,2.957,"4,278.00"
73,18-10-2023,3.056,"4,314.60"
74,17-10-2023,3.079,"4,373.20"
75,16-10-2023,3.109,"4,373.63"
76,13-10-2023,3.236,"4,327.78"
77,12/10/2023,3.344,"4,349.61"
78,11/10/2023,3.377,"4,376.95"
79,10/10/2023,3.382,"4,358.24"
80,9/10/2023,3.376,"4,335.66"
81,6/10/2023,3.338,"4,308.50"
82,5/10/2023,3.166,"4,258.19"
83,4/10/2023,2.962,"4,263.75"
84,3/10/2023,2.949,"4,229.45"
85,2/10/2023,2.84,"4,288.39"
86,29-09-2023,2.929,"4,288.05"
87,28-09-2023,2.945,"4,299.70"
88,27-09-2023,2.764,"4,274.51"
89,26-09-2023,2.656,"4,273.53"
90,25-09-2023,2.639,"4,337.44"
91,22-09-2023,2.637,"4,320.06"
92,21-09-2023,2.61,"4,330.00"
93,20-09-2023,2.733,"4,402.20"
94,19-09-2023,2.848,"4,443.95"
95,18-09-2023,2.728,"4,453.53"
96,15-09-2023,2.644,"4,450.32"
97,14-09-2023,2.708,"4,505.10"
98,13-09-2023,2.68,"4,467.44"
99,12/9/2023,2.743,"4,461.90"
100,11/9/2023,2.608,"4,487.46"
101,8/9/2023,2.605,"4,457.49"
102,7/9/2023,2.579,"4,451.14"
103,6/9/2023,2.51,"4,465.48"
104,5/9/2023,2.582,"4,496.83"
105,1/9/2023,2.765,"4,515.77"
106,31-08-2023,2.768,"4,507.66"
107,30-08-2023,2.796,"4,514.87"
108,29-08-2023,2.556,"4,497.63"
109,28-08-2023,2.579,"4,433.31"
110,25-08-2023,2.54,"4,405.71"
111,24-08-2023,2.519,"4,376.31"
112,23-08-2023,2.497,"4,436.01"
113,22-08-2023,2.56,"4,387.55"
114,21-08-2023,2.632,"4,399.77"
115,18-08-2023,2.551,"4,369.71"
116,17-08-2023,2.621,"4,370.36"
117,16-08-2023,2.592,"4,404.33"
118,15-08-2023,2.659,"4,437.86"
119,14-08-2023,2.795,"4,489.72"
120,11/8/2023,2.77,"4,464.05"
121,10/8/2023,2.763,"4,468.83"
122,9/8/2023,2.959,"4,467.71"
123,8/8/2023,2.777,"4,499.38"
124,7/8/2023,2.725,"4,518.44"
125,4/8/2023,2.577,"4,478.03"
126,3/8/2023,2.565,"4,501.89"
127,2/8/2023,2.477,"4,513.39"
128,1/8/2023,2.56,"4,576.73"
129,31-07-2023,2.634,"4,588.96"
130,28-07-2023,2.638,"4,582.23"
131,27-07-2023,2.492,"4,537.41"
132,26-07-2023,2.665,"4,566.75"
133,25-07-2023,2.73,"4,567.46"
134,24-07-2023,2.685,"4,554.64"
